Customer ID,Month,offers
uqdtniwvxqzeu1,7,"['C', 'J', 'I']"
uqdtniwvxqzeu1,9,"['B', 'F', 'H']"
uqdtniwvxqzeu1,10,"['H', 'B', 'D']"
uqdtniwvxqzeu1,11,"['D', 'B', 'A']"
uqdtniwvxqzeu1,12,"['I', 'C', 'E']"
uqdtniwvxqzeu1,13,"['A', 'J', 'F']"
uqdtniwvxqzeu1,14,"['H', 'J', 'E']"
ojzonexnucycb3,12,"['J', 'I', 'G']"
ojzonexnucycb3,13,"['D', 'J', 'A']"
ojzonexnucycb3,14,"['J', 'B', 'E']"
nzxifoxtjpktc4,10,"['B', 'A', 'C']"
nzxifoxtjpktc4,11,"['H', 'J', 'B']"
nzxifoxtjpktc4,12,"['C', 'F', 'B']"
nzxifoxtjpktc4,13,"['E', 'G', 'B']"
zcpjiqpcepwze6,10,"['B', 'A', 'C']"
zcpjiqpcepwze6,11,"['H', 'J', 'B']"
zcpjiqpcepwze6,12,"['A', 'J', 'I']"
zcpjiqpcepwze6,14,"['A', 'I', 'J']"
kbxsterraygzq8,9,"['I', 'H', 'G']"
kbxsterraygzq8,11,"['I', 'G', 'H']"
kbxsterraygzq8,12,"['B', 'A', 'C']"
kbxsterraygzq8,13,"['I', 'E', 'G']"
kbxsterraygzq8,14,"['E', 'C', 'F']"
bitdqurhfohcp9,9,"['I', 'C', 'A']"
bitdqurhfohcp9,10,"['D', 'H', 'E']"
bitdqurhfohcp9,11,"['G', 'J', 'A']"
bitdqurhfohcp9,12,"['C', 'I', 'E']"
bitdqurhfohcp9,13,"['A', 'D', 'I']"
nynydvvsfybbx10,7,"['D', 'G', 'C']"
nynydvvsfybbx10,8,"['D', 'E', 'I']"
nynydvvsfybbx10,10,"['C', 'I', 'D']"
nynydvvsfybbx10,11,"['H', 'F', 'G']"
gxvosfxjewyla11,10,"['B', 'E', 'G']"
gxvosfxjewyla11,11,"['D', 'F', 'C']"
gxvosfxjewyla11,12,"['G', 'A', 'B']"
gxvosfxjewyla11,14,"['G', 'C', 'B']"
lkbosigyuaztq12,10,"['C', 'H', 'D']"
lkbosigyuaztq12,12,"['J', 'H', 'I']"
lkbosigyuaztq12,13,"['B', 'F', 'G']"
lkbosigyuaztq12,14,"['E', 'B', 'I']"
teequpgyuzwce14,2,"['C', 'F', 'I']"
teequpgyuzwce14,3,"['F', 'A', 'J']"
teequpgyuzwce14,6,"['G', 'B', 'H']"
teequpgyuzwce14,7,"['B', 'A', 'C']"
teequpgyuzwce14,8,"['I', 'B', 'C']"
teequpgyuzwce14,9,"['B', 'G', 'F']"
teequpgyuzwce14,10,"['H', 'A', 'G']"
teequpgyuzwce14,11,"['A', 'E', 'I']"
teequpgyuzwce14,12,"['F', 'J', 'H']"
teequpgyuzwce14,13,"['G', 'C', 'B']"
teequpgyuzwce14,14,"['B', 'I', 'J']"
mdvfozdhmhkes16,6,"['F', 'C', 'J']"
mdvfozdhmhkes16,8,"['A', 'G', 'D']"
mdvfozdhmhkes16,9,"['C', 'J', 'G']"
mdvfozdhmhkes16,10,"['B', 'D', 'E']"
mdvfozdhmhkes16,11,"['D', 'F', 'H']"
mdvfozdhmhkes16,12,"['A', 'J', 'D']"
mdvfozdhmhkes16,14,"['J', 'E', 'I']"
pmrwmbcxiuxgx17,7,"['C', 'G', 'D']"
pmrwmbcxiuxgx17,9,"['E', 'H', 'C']"
pmrwmbcxiuxgx17,10,"['C', 'H', 'G']"
pmrwmbcxiuxgx17,12,"['H', 'J', 'A']"
pmrwmbcxiuxgx17,13,"['E', 'C', 'J']"
pmrwmbcxiuxgx17,14,"['B', 'D', 'F']"
ucpurmfkdlnwi18,13,"['G', 'F', 'D']"
ucpurmfkdlnwi18,14,"['B', 'C', 'H']"
riweiqtwcpxnm19,2,"['G', 'B', 'F']"
riweiqtwcpxnm19,3,"['A', 'C', 'B']"
riweiqtwcpxnm19,4,"['J', 'D', 'F']"
riweiqtwcpxnm19,5,"['B', 'E', 'H']"
riweiqtwcpxnm19,8,"['F', 'J', 'B']"
riweiqtwcpxnm19,9,"['D', 'C', 'F']"
riweiqtwcpxnm19,10,"['I', 'G', 'B']"
riweiqtwcpxnm19,11,"['E', 'A', 'B']"
riweiqtwcpxnm19,12,"['B', 'H', 'J']"
riweiqtwcpxnm19,13,"['C', 'I', 'A']"
riweiqtwcpxnm19,14,"['B', 'J', 'F']"
sirifvlkipkel21,11,"['C', 'F', 'G']"
