Customer ID,Month,offers
uqdtniwvxqzeu1,7,['C' 'J' 'H']
uqdtniwvxqzeu1,9,['C' 'B' 'F']
uqdtniwvxqzeu1,10,['H' 'A' 'E']
uqdtniwvxqzeu1,11,['B' 'C' 'A']
uqdtniwvxqzeu1,12,['I' 'C' 'H']
uqdtniwvxqzeu1,13,['C' 'D' 'A']
uqdtniwvxqzeu1,14,['H' 'I' 'J']
ojzonexnucycb3,12,['G' 'J' 'B']
ojzonexnucycb3,13,['D' 'J' 'A']
ojzonexnucycb3,14,['J' 'B' 'G']
nzxifoxtjpktc4,10,['A' 'D' 'B']
nzxifoxtjpktc4,11,['H' 'J' 'B']
nzxifoxtjpktc4,12,['F' 'B' 'C']
nzxifoxtjpktc4,13,['E' 'G' 'C']
zcpjiqpcepwze6,10,['A' 'C' 'B']
zcpjiqpcepwze6,11,['J' 'B' 'H']
zcpjiqpcepwze6,12,['A' 'I' 'J']
zcpjiqpcepwze6,14,['A' 'I' 'J']
kbxsterraygzq8,9,['G' 'A' 'B']
kbxsterraygzq8,11,['I' 'G' 'H']
kbxsterraygzq8,12,['H' 'D' 'F']
kbxsterraygzq8,13,['G' 'I' 'B']
kbxsterraygzq8,14,['E' 'J' 'C']
bitdqurhfohcp9,9,['C' 'A' 'I']
bitdqurhfohcp9,10,['D' 'E' 'H']
bitdqurhfohcp9,11,['A' 'G' 'J']
bitdqurhfohcp9,12,['C' 'J' 'I']
bitdqurhfohcp9,13,['J' 'A' 'H']
nynydvvsfybbx10,7,['J' 'D' 'B']
nynydvvsfybbx10,8,['D' 'E' 'I']
nynydvvsfybbx10,10,['D' 'C' 'G']
nynydvvsfybbx10,11,['F' 'G' 'H']
gxvosfxjewyla11,10,['A' 'B' 'G']
gxvosfxjewyla11,11,['F' 'G' 'D']
gxvosfxjewyla11,12,['A' 'G' 'B']
gxvosfxjewyla11,14,['G' 'C' 'B']
lkbosigyuaztq12,10,['H' 'C' 'I']
lkbosigyuaztq12,12,['J' 'D' 'G']
lkbosigyuaztq12,13,['B' 'F' 'G']
lkbosigyuaztq12,14,['E' 'B' 'C']
teequpgyuzwce14,2,['I' 'C' 'B']
teequpgyuzwce14,3,['F' 'I' 'A']
teequpgyuzwce14,6,['G' 'C' 'H']
teequpgyuzwce14,7,['B' 'A' 'C']
teequpgyuzwce14,8,['I' 'B' 'C']
teequpgyuzwce14,9,['B' 'I' 'A']
teequpgyuzwce14,10,['H' 'G' 'A']
teequpgyuzwce14,11,['E' 'I' 'A']
teequpgyuzwce14,12,['F' 'H' 'J']
teequpgyuzwce14,13,['G' 'F' 'B']
teequpgyuzwce14,14,['I' 'B' 'J']
mdvfozdhmhkes16,6,['C' 'D' 'F']
mdvfozdhmhkes16,8,['A' 'H' 'G']
mdvfozdhmhkes16,9,['I' 'C' 'G']
mdvfozdhmhkes16,10,['B' 'E' 'J']
mdvfozdhmhkes16,11,['I' 'D' 'H']
mdvfozdhmhkes16,12,['A' 'J' 'D']
mdvfozdhmhkes16,14,['J' 'G' 'I']
pmrwmbcxiuxgx17,7,['C' 'G' 'B']
pmrwmbcxiuxgx17,9,['E' 'C' 'H']
pmrwmbcxiuxgx17,10,['C' 'J' 'B']
pmrwmbcxiuxgx17,12,['A' 'H' 'F']
pmrwmbcxiuxgx17,13,['E' 'C' 'J']
pmrwmbcxiuxgx17,14,['B' 'D' 'F']
ucpurmfkdlnwi18,13,['G' 'F' 'H']
ucpurmfkdlnwi18,14,['C' 'B' 'E']
riweiqtwcpxnm19,2,['B' 'H' 'C']
riweiqtwcpxnm19,3,['C' 'B' 'A']
riweiqtwcpxnm19,4,['B' 'A' 'J']
riweiqtwcpxnm19,5,['B' 'E' 'F']
riweiqtwcpxnm19,8,['A' 'F' 'J']
riweiqtwcpxnm19,9,['D' 'F' 'C']
riweiqtwcpxnm19,10,['I' 'G' 'A']
riweiqtwcpxnm19,11,['E' 'A' 'B']
riweiqtwcpxnm19,12,['H' 'G' 'J']
riweiqtwcpxnm19,13,['I' 'C' 'A']
riweiqtwcpxnm19,14,['B' 'A' 'J']
sirifvlkipkel21,11,['C' 'F' 'G']
sirifvlkipkel21,13,['J' 'C' 'F']
sirifvlkipkel21,14,['F' 'C' 'B']
nfhyvxuubmklt23,7,['A' 'C' 'J']
dnnrchjlmrylq24,10,['J' 'G' 'C']
dnnrchjlmrylq24,11,['C' 'I' 'H']
dnnrchjlmrylq24,12,['G' 'F' 'C']
dnnrchjlmrylq24,13,['F' 'H' 'E']
pmjtlwcmmdtqy25,2,['A' 'C' 'B']
pmjtlwcmmdtqy25,3,['B' 'I' 'F']
pmjtlwcmmdtqy25,4,['B' 'E' 'C']
pmjtlwcmmdtqy25,5,['I' 'C' 'B']
pmjtlwcmmdtqy25,6,['B' 'C' 'H']
pmjtlwcmmdtqy25,7,['D' 'E' 'I']
pmjtlwcmmdtqy25,8,['G' 'J' 'D']
pmjtlwcmmdtqy25,10,['G' 'A' 'F']
pmjtlwcmmdtqy25,11,['C' 'J' 'E']
pmjtlwcmmdtqy25,12,['G' 'A' 'F']
pmjtlwcmmdtqy25,13,['B' 'I' 'G']
kzxgwhhdwzqop26,9,['B' 'C' 'A']
kzxgwhhdwzqop26,10,['A' 'I' 'F']
sxhdnqbwzktrq27,10,['A' 'E' 'G']
sxhdnqbwzktrq27,11,['C' 'D' 'E']
